title,category,description,price,price_currency,search_text
Обои виниловые 'Классика' бежевые,Обои,"Виниловые обои высокого качества, очень прочные и влагостойкие, не выгорают на солнце, ширина рулона 53 см, длина 10 м, легко моются",2288,RUB,"Обои виниловые 'Классика' бежевые Обои Виниловые обои высокого качества, очень прочные и влагостойкие, не выгорают на солнце, ширина рулона 53 см, длина 10 м, легко моются"
Обои флизелиновые 'Модерн' серые,Обои,"Флизелиновые обои премиум класса, дышащие и экологичные, отличная маскировка неровностей стен, ширина 106 см, длина 10 м, под покраску",1057,RUB,"Обои флизелиновые 'Модерн' серые Обои Флизелиновые обои премиум класса, дышащие и экологичные, отличная маскировка неровностей стен, ширина 106 см, длина 10 м, под покраску"
Обои бумажные 'Детские' с рисунком,Обои,"Бумажные обои для детской комнаты, безопасные и экологичные, яркие цвета не выгорают, ширина 53 см, длина 10 м, легко клеятся",1744,RUB,"Обои бумажные 'Детские' с рисунком Обои Бумажные обои для детской комнаты, безопасные и экологичные, яркие цвета не выгорают, ширина 53 см, длина 10 м, легко клеятся"
Обои текстильные 'Люкс' бежевые,Обои,"Текстильные обои премиум сегмента, очень красивые и долговечные, отличная звукоизоляция, ширина 100 см, длина 10 м, требуют аккуратной поклейки",651,RUB,"Обои текстильные 'Люкс' бежевые Обои Текстильные обои премиум сегмента, очень красивые и долговечные, отличная звукоизоляция, ширина 100 см, длина 10 м, требуют аккуратной поклейки"
Обои виниловые 'Структурные' белые,Обои,"Структурные виниловые обои с рельефным рисунком, скрывают мелкие дефекты стен, влагостойкие, ширина 53 см, длина 10 м",1900,RUB,"Обои виниловые 'Структурные' белые Обои Структурные виниловые обои с рельефным рисунком, скрывают мелкие дефекты стен, влагостойкие, ширина 53 см, длина 10 м"
Обои флизелиновые 'Минимализм' белые,Обои,"Флизелиновые обои в стиле минимализм, идеально подходят для современного интерьера, легко клеятся, ширина 106 см, длина 10 м",452,RUB,"Обои флизелиновые 'Минимализм' белые Обои Флизелиновые обои в стиле минимализм, идеально подходят для современного интерьера, легко клеятся, ширина 106 см, длина 10 м"
Обои виниловые 'Премиум' с фактурой,Обои,"Премиум виниловые обои с объемной фактурой, имитация текстиля, очень красивые, ширина 53 см, длина 10 м, для гостиных и спален",2502,RUB,"Обои виниловые 'Премиум' с фактурой Обои Премиум виниловые обои с объемной фактурой, имитация текстиля, очень красивые, ширина 53 см, длина 10 м, для гостиных и спален"
Обои бумажные однотонные белые,Обои,"Бумажные обои однотонные белые, классический вариант, легко клеятся и снимаются, ширина 53 см, длина 10 м, бюджетный вариант",675,RUB,"Обои бумажные однотонные белые Обои Бумажные обои однотонные белые, классический вариант, легко клеятся и снимаются, ширина 53 см, длина 10 м, бюджетный вариант"
Обои виниловые 'Влагостойкие' для кухни,Обои,"Влагостойкие виниловые обои специально для кухни и ванной, не боятся влаги и пара, легко моются, ширина 53 см, длина 10 м",1671,RUB,"Обои виниловые 'Влагостойкие' для кухни Обои Влагостойкие виниловые обои специально для кухни и ванной, не боятся влаги и пара, легко моются, ширина 53 см, длина 10 м"
Обои флизелиновые 'Текстура' бежевые,Обои,"Флизелиновые обои с текстурной поверхностью, создают эффект объемности, скрывают неровности, ширина 106 см, длина 10 м",2201,RUB,"Обои флизелиновые 'Текстура' бежевые Обои Флизелиновые обои с текстурной поверхностью, создают эффект объемности, скрывают неровности, ширина 106 см, длина 10 м"
Обои виниловые 'Моющиеся' для прихожей,Обои,"Моющиеся виниловые обои для прихожей, очень прочные, легко чистятся влажной тряпкой, ширина 53 см, длина 10 м",2321,RUB,"Обои виниловые 'Моющиеся' для прихожей Обои Моющиеся виниловые обои для прихожей, очень прочные, легко чистятся влажной тряпкой, ширина 53 см, длина 10 м"
Обои бумажные 'Цветочные' розовые,Обои,"Бумажные обои с цветочным рисунком для спальни, нежные цвета, экологичные, ширина 53 см, длина 10 м",1191,RUB,"Обои бумажные 'Цветочные' розовые Обои Бумажные обои с цветочным рисунком для спальни, нежные цвета, экологичные, ширина 53 см, длина 10 м"
Обои флизелиновые 'Под покраску' белые,Обои,"Флизелиновые обои под покраску, можно красить многократно, отличная маскировка неровностей, ширина 106 см, длина 10 м",566,RUB,"Обои флизелиновые 'Под покраску' белые Обои Флизелиновые обои под покраску, можно красить многократно, отличная маскировка неровностей, ширина 106 см, длина 10 м"
Обои виниловые '3D эффект' серые,Обои,"Виниловые обои с 3D эффектом, создают объемное изображение, очень красивые, ширина 53 см, длина 10 м",446,RUB,"Обои виниловые '3D эффект' серые Обои Виниловые обои с 3D эффектом, создают объемное изображение, очень красивые, ширина 53 см, длина 10 м"
Обои бумажные 'Геометрия' черно-белые,Обои,"Бумажные обои с геометрическим рисунком в стиле модерн, контрастные цвета, ширина 53 см, длина 10 м",2714,RUB,"Обои бумажные 'Геометрия' черно-белые Обои Бумажные обои с геометрическим рисунком в стиле модерн, контрастные цвета, ширина 53 см, длина 10 м"
Клей для обоев универсальный 250г,Клей для обоев,"Универсальный клей для всех типов обоев, очень клейкий и надежный, быстро сохнет, не оставляет пятен, подходит для бумажных и легких виниловых обоев",783,RUB,"Клей для обоев универсальный 250г Клей для обоев Универсальный клей для всех типов обоев, очень клейкий и надежный, быстро сохнет, не оставляет пятен, подходит для бумажных и легких виниловых обоев"
Клей для обоев виниловых 500г,Клей для обоев,"Специальный клей для виниловых обоев, повышенная прочность сцепления, влагостойкий состав, не желтеет со временем, для тяжелых обоев",428,RUB,"Клей для обоев виниловых 500г Клей для обоев Специальный клей для виниловых обоев, повышенная прочность сцепления, влагостойкий состав, не желтеет со временем, для тяжелых обоев"
Клей для обоев флизелиновых 400г,Клей для обоев,"Клей для флизелиновых обоев, наносится только на стену, очень экономичный расход, быстро схватывается, не растекается",633,RUB,"Клей для обоев флизелиновых 400г Клей для обоев Клей для флизелиновых обоев, наносится только на стену, очень экономичный расход, быстро схватывается, не растекается"
Клей для обоев тяжелых 1кг,Клей для обоев,"Мощный клей для тяжелых и текстильных обоев, максимальная прочность сцепления, для сложных поверхностей, расход 1кг на 5-7 рулонов",409,RUB,"Клей для обоев тяжелых 1кг Клей для обоев Мощный клей для тяжелых и текстильных обоев, максимальная прочность сцепления, для сложных поверхностей, расход 1кг на 5-7 рулонов"
Клей для обоев быстросохнущий 300г,Клей для обоев,"Быстросохнущий клей для обоев, идеален для ремонта, схватывается за 10-15 минут, не требует долгого ожидания, удобен для небольших работ",404,RUB,"Клей для обоев быстросохнущий 300г Клей для обоев Быстросохнущий клей для обоев, идеален для ремонта, схватывается за 10-15 минут, не требует долгого ожидания, удобен для небольших работ"
Клей для обоев универсальный 1кг,Клей для обоев,"Универсальный клей для обоев большой упаковкой, экономичный вариант для больших объемов работ, расход 1кг на 8-10 рулонов",646,RUB,"Клей для обоев универсальный 1кг Клей для обоев Универсальный клей для обоев большой упаковкой, экономичный вариант для больших объемов работ, расход 1кг на 8-10 рулонов"
Клей для обоев бумажных 200г,Клей для обоев,"Специальный клей для бумажных обоев, легкий состав, быстро сохнет, не оставляет разводов, идеален для легких обоев",174,RUB,"Клей для обоев бумажных 200г Клей для обоев Специальный клей для бумажных обоев, легкий состав, быстро сохнет, не оставляет разводов, идеален для легких обоев"
Грунтовка глубокого проникновения 5л,Грунтовка,"Грунтовка глубокого проникновения для подготовки стен перед поклейкой обоев, укрепляет поверхность, снижает расход клея, белая, без запаха, сохнет 2-3 часа",814,RUB,"Грунтовка глубокого проникновения 5л Грунтовка Грунтовка глубокого проникновения для подготовки стен перед поклейкой обоев, укрепляет поверхность, снижает расход клея, белая, без запаха, сохнет 2-3 часа"
Грунтовка универсальная 10л,Грунтовка,"Универсальная грунтовка для всех типов поверхностей, отлично подходит для подготовки стен под обои, улучшает адгезию, экономичный расход",1773,RUB,"Грунтовка универсальная 10л Грунтовка Универсальная грунтовка для всех типов поверхностей, отлично подходит для подготовки стен под обои, улучшает адгезию, экономичный расход"
Грунтовка концентрированная 1л,Грунтовка,"Концентрированная грунтовка, разводится водой 1:3, очень экономичная, глубоко проникает в поверхность, идеальна для пористых стен",1792,RUB,"Грунтовка концентрированная 1л Грунтовка Концентрированная грунтовка, разводится водой 1:3, очень экономичная, глубоко проникает в поверхность, идеальна для пористых стен"
Грунтовка антисептическая 5л,Грунтовка,"Грунтовка с антисептическими свойствами, защищает от плесени и грибка, обязательна для влажных помещений перед поклейкой обоев",1085,RUB,"Грунтовка антисептическая 5л Грунтовка Грунтовка с антисептическими свойствами, защищает от плесени и грибка, обязательна для влажных помещений перед поклейкой обоев"
Грунтовка акриловая 3л,Грунтовка,"Акриловая грунтовка для подготовки стен, быстро сохнет, улучшает сцепление обоев со стеной, белая, без запаха",901,RUB,"Грунтовка акриловая 3л Грунтовка Акриловая грунтовка для подготовки стен, быстро сохнет, улучшает сцепление обоев со стеной, белая, без запаха"
Шпаклевка финишная 5кг,Шпаклевка,"Финишная шпаклевка для выравнивания стен перед поклейкой обоев, очень мелкозернистая, легко шлифуется, белая, готова к использованию",1364,RUB,"Шпаклевка финишная 5кг Шпаклевка Финишная шпаклевка для выравнивания стен перед поклейкой обоев, очень мелкозернистая, легко шлифуется, белая, готова к использованию"
Шпаклевка стартовая 20кг,Шпаклевка,"Стартовая шпаклевка для грубого выравнивания стен, заделывает крупные трещины и неровности, прочная и долговечная, требует финишного слоя",596,RUB,"Шпаклевка стартовая 20кг Шпаклевка Стартовая шпаклевка для грубого выравнивания стен, заделывает крупные трещины и неровности, прочная и долговечная, требует финишного слоя"
Шпаклевка универсальная 10кг,Шпаклевка,"Универсальная шпаклевка для всех типов работ, подходит и для старта и для финиша, пластичная и удобная в работе, белая",1308,RUB,"Шпаклевка универсальная 10кг Шпаклевка Универсальная шпаклевка для всех типов работ, подходит и для старта и для финиша, пластичная и удобная в работе, белая"
Шпаклевка гипсовая 25кг,Шпаклевка,"Гипсовая шпаклевка для выравнивания стен, очень пластичная, легко наносится, быстро сохнет, идеальна перед поклейкой обоев",561,RUB,"Шпаклевка гипсовая 25кг Шпаклевка Гипсовая шпаклевка для выравнивания стен, очень пластичная, легко наносится, быстро сохнет, идеальна перед поклейкой обоев"
Шпаклевка цементная 20кг,Шпаклевка,"Цементная шпаклевка для наружных и внутренних работ, очень прочная, влагостойкая, для грубого выравнивания",1185,RUB,"Шпаклевка цементная 20кг Шпаклевка Цементная шпаклевка для наружных и внутренних работ, очень прочная, влагостойкая, для грубого выравнивания"
Шпаклевка полимерная 15кг,Шпаклевка,"Полимерная шпаклевка эластичная, не трескается, идеальна для финишного слоя, очень пластичная",833,RUB,"Шпаклевка полимерная 15кг Шпаклевка Полимерная шпаклевка эластичная, не трескается, идеальна для финишного слоя, очень пластичная"
Шпаклевка латексная 10кг,Шпаклевка,"Латексная шпаклевка очень эластичная, легко наносится, не трескается, идеальна для финишного слоя",1114,RUB,"Шпаклевка латексная 10кг Шпаклевка Латексная шпаклевка очень эластичная, легко наносится, не трескается, идеальна для финишного слоя"
Кисть малярная из натуральной щетины 10см,Кисти,"Кисть малярная из натуральной щетины для нанесения клея, очень качественная и долговечная, не линяет, идеальна для работы с обоями, ширина 10 см",539,RUB,"Кисть малярная из натуральной щетины 10см Кисти Кисть малярная из натуральной щетины для нанесения клея, очень качественная и долговечная, не линяет, идеальна для работы с обоями, ширина 10 см"
Кисть малярная из натуральной щетины 7.5см,Кисти,"Кисть малярная из натуральной щетины среднего размера, отлично подходит для нанесения клея в углах и труднодоступных местах, ширина 7.5 см",347,RUB,"Кисть малярная из натуральной щетины 7.5см Кисти Кисть малярная из натуральной щетины среднего размера, отлично подходит для нанесения клея в углах и труднодоступных местах, ширина 7.5 см"
Кисть малярная из натуральной щетины 5см,Кисти,"Кисть малярная из натуральной щетины узкая, идеальна для точного нанесения клея в углах и вокруг розеток, ширина 5 см",642,RUB,"Кисть малярная из натуральной щетины 5см Кисти Кисть малярная из натуральной щетины узкая, идеальна для точного нанесения клея в углах и вокруг розеток, ширина 5 см"
Кисть малярная синтетическая 10см,Кисти,"Кисть малярная синтетическая плоская для нанесения клея, очень удобная и качественная, не линяет, легко моется, ширина 10 см",390,RUB,"Кисть малярная синтетическая 10см Кисти Кисть малярная синтетическая плоская для нанесения клея, очень удобная и качественная, не линяет, легко моется, ширина 10 см"
Кисть малярная синтетическая 7.5см,Кисти,"Кисть малярная синтетическая среднего размера, отлично подходит для нанесения клея на обои и стены, ширина 7.5 см",348,RUB,"Кисть малярная синтетическая 7.5см Кисти Кисть малярная синтетическая среднего размера, отлично подходит для нанесения клея на обои и стены, ширина 7.5 см"
Кисть малярная синтетическая 5см,Кисти,"Кисть малярная синтетическая узкая для работы в углах, очень удобная для точного нанесения клея, ширина 5 см",754,RUB,"Кисть малярная синтетическая 5см Кисти Кисть малярная синтетическая узкая для работы в углах, очень удобная для точного нанесения клея, ширина 5 см"
Кисть малярная синтетическая 12.5см,Кисти,"Кисть малярная синтетическая широкая для быстрого нанесения клея на большие поверхности, очень удобная, ширина 12.5 см",583,RUB,"Кисть малярная синтетическая 12.5см Кисти Кисть малярная синтетическая широкая для быстрого нанесения клея на большие поверхности, очень удобная, ширина 12.5 см"
Кисть малярная из шерсти 10см,Кисти,"Кисть малярная из натуральной шерсти для нанесения клея, очень мягкая и качественная, равномерно распределяет клей, ширина 10 см",647,RUB,"Кисть малярная из шерсти 10см Кисти Кисть малярная из натуральной шерсти для нанесения клея, очень мягкая и качественная, равномерно распределяет клей, ширина 10 см"
Кисть малярная из шерсти 7.5см,Кисти,"Кисть малярная из натуральной шерсти среднего размера, идеальна для работы с обоями, очень мягкая, ширина 7.5 см",660,RUB,"Кисть малярная из шерсти 7.5см Кисти Кисть малярная из натуральной шерсти среднего размера, идеальна для работы с обоями, очень мягкая, ширина 7.5 см"
Кисть малярная круглая синтетическая 5см,Кисти,"Кисть малярная круглая синтетическая для работы в труднодоступных местах, очень удобная для углов и стыков, диаметр 5 см",415,RUB,"Кисть малярная круглая синтетическая 5см Кисти Кисть малярная круглая синтетическая для работы в труднодоступных местах, очень удобная для углов и стыков, диаметр 5 см"
Кисть малярная круглая из щетины 4см,Кисти,"Кисть малярная круглая из натуральной щетины для точной работы, идеальна для нанесения клея вокруг розеток и выключателей",167,RUB,"Кисть малярная круглая из щетины 4см Кисти Кисть малярная круглая из натуральной щетины для точной работы, идеальна для нанесения клея вокруг розеток и выключателей"
Кисть малярная угловая синтетическая,Кисти,"Кисть малярная угловая синтетическая специально для работы в углах, очень удобная конструкция, идеальна для поклейки обоев",514,RUB,"Кисть малярная угловая синтетическая Кисти Кисть малярная угловая синтетическая специально для работы в углах, очень удобная конструкция, идеальна для поклейки обоев"
